unit,dataset,metric,method_a,method_b,n,mean_a,mean_b,median_diff,W,p_raw,effect_rank_biserial,p_holm
slice,PhysioNet,ap,ViT,Chance,40,0.021108734562585597,0.004191056182025932,0.0021387519664131105,92.0,4.153314876020886e-06,0.775609756097561,1.6613259504083544e-05
slice,PhysioNet,ap,Hybrid,U-Net,40,0.02022956976434216,0.4476942568726372,-0.43999938084743917,15.0,2.4920154828578234e-10,-0.9634146341463414,1.495209289714694e-09
slice,PhysioNet,ap,Hybrid,Chance,40,0.02022956976434216,0.004191056182025932,0.005031998618505895,34.0,6.775735528208315e-09,0.9170731707317074,3.387867764104158e-08
slice,PhysioNet,ap,U-Net,Chance,40,0.4476942568726372,0.004191056182025932,0.4592123166657984,0.0,1.8189894035458565e-12,1.0,1.8189894035458565e-11
slice,CQ500,dice,CNN,ViT,799,0.01740380432963317,0.05890290408791138,-0.011800004038377665,51500.0,7.506211098479589e-62,-0.6777221526908636,4.503726659087754e-61
slice,CQ500,dice,CNN,Hybrid,799,0.01740380432963317,0.05005852150323572,-0.00014615606050938368,62115.0,1.1718371992160504e-50,-0.6112953692115144,4.6873487968642015e-50
slice,CQ500,dice,CNN,U-Net,799,0.01740380432963317,0.3641094002940165,-0.25847033111494966,6590.0,6.940951848231396e-122,-0.9587609511889862,6.9409518482313966e-121
slice,CQ500,dice,CNN,Chance,799,0.01740380432963317,0.017592730788383235,-0.0044121080718468875,90772.0,3.7841632857612176e-26,-0.43196495619524405,1.1352489857283652e-25
slice,CQ500,dice,ViT,Hybrid,799,0.05890290408791138,0.05005852150323572,0.0001253730006283149,127300.0,6.352016601818262e-07,0.20337922403003755,1.2704033203636523e-06
slice,CQ500,dice,ViT,U-Net,799,0.05890290408791138,0.3641094002940165,-0.24788588285446167,44844.0,1.873703175535995e-69,-0.7193742177722152,1.3115922228751963e-68
slice,CQ500,dice,ViT,Chance,799,0.05890290408791138,0.017592730788383235,0.012157997116446495,60107.0,1.0944997385498665e-52,0.6238610763454318,5.4724986927493325e-52
slice,CQ500,dice,Hybrid,U-Net,799,0.05005852150323572,0.3641094002940165,-0.22708713641623035,28520.0,5.246363896362161e-90,-0.8215269086357947,4.197091117089729e-89
slice,CQ500,dice,Hybrid,Chance,799,0.05005852150323572,0.017592730788383235,-0.0010801565367728472,140742.0,0.0034959754322286193,0.11926157697121402,0.0034959754322286193
slice,CQ500,dice,U-Net,Chance,799,0.3641094002940165,0.017592730788383235,0.2535553756169975,26924.0,3.672453910677268e-92,0.8315143929912391,3.3052085196095414e-91
slice,CQ500,iou,CNN,ViT,799,0.009445609081691083,0.03239768920158692,-0.005885931997909211,52750.0,1.790599410321523e-60,-0.6698998748435544,1.0743596461929139e-59
slice,CQ500,iou,CNN,Hybrid,799,0.009445609081691083,0.028617932413817358,-0.00014252182154450566,61550.0,3.1762482735318095e-51,-0.6148310387984981,1.2704993094127238e-50
slice,CQ500,iou,CNN,U-Net,799,0.009445609081691083,0.28819759467053396,-0.15769069058296736,4947.0,1.8029542024127868e-124,-0.9690425531914894,1.8029542024127867e-123
slice,CQ500,iou,CNN,Chance,799,0.009445609081691083,0.008973980603075823,-0.00212037937308196,93155.0,1.7437767363042794e-24,-0.4170525657071339,5.231330208912838e-24
slice,CQ500,iou,ViT,Hybrid,799,0.03239768920158692,0.028617932413817358,5.2580784540623426e-05,130390.0,6.584561441646656e-06,0.18404255319148935,1.3169122883293312e-05
